http://www.cs.cmu.edu/afs/cs/user/lsl/Nice/Urdu-MT/data/mono-pos-lexicon.filtered
Direct Copy
Hamza Harkous
ابو الحسن
عبد الله
عبد العدل
عبد العفو
عبد الاحد
عبد الآخر
عبد العلي
عبد العليم
عبد الاول
عبد العظيم
عبد العزيز
عبد البديع
عبد الباعث
عبد الباقي
عبد الباري
عبد البر
عبد البصير
عبد الباسط
عبد الباطن
عبد الفتاح
عبد الغفار
عبد الغفور
عبد الغني
عبد الھادي
عبد الحافظ
عبد الحكم
عبد الحكيم
عبد الرحيم
عبد السلام
عبد الله
عبد احد
عبد ارحمان
عبد ارحمٰن
عبد ارزاق
عبد اعزيز
عبد الآصف
عبد الاحد
عبد الاسحاق
عبد الاسلام
عبد الاضحى
عبد الاطك
عبد الامير
عبد الاول
عبد الاكبر
عبد الاهي
عبد الباثر
عبد الباري
عبد الباسط
عبد الباط
عبد الباعث
عبد الباقي
عبد البشير
عبد البصير
عبد التواب
عبد الجان
عبد الجبار
عبد الجبارخان
عبد الجباردبئي
عبد الجليل
عبد الجميل
عبد الجواد
عبد الحئ
عبد الحئي
عبد الحادي
عبد الحافظ
عبد الحامد
عبد الحاكم
عبد الحبيب
عبد الحسن
عبد الحسين
عبد الحسيب
عبد الحسين
عبد الحفيط
عبد الحفيظ
عبد الحق
عبد الحقن
عبد الحقي
عبد الحق
عبد الحليم
عبد الحليم
عبد الحميد
عبد الحميد
عبد الحميدكو
عبد الحنان
عبد الحكيم
عبد الحكيمنمائنده
عبد الحي
عبد الخازم
عبد الخاق
عبد الخالد
عبد الخالص
عبد الخالق
عبد الخان
عبد الخبير
عبد الخليق
عبد الخليل
عبد الر
عبد الرؤف
عبد الراحيل
عبد الرازق
عبد الراشد
عبد الرافع
عبد الراق
عبد الرب
عبد الرباني
عبد الرحمان
عبد الرحمن
عبد الرحمنجنيد
عبد الرحمنٰ
عبد الرحمٰان
عبد الرحمٰن
عبد الرحيم
عبد الرحيم
عبد الرزا
عبد الرزاق
عبد الرزاق
عبد الرزاق
عبد الرسول
عبد الرشيد
عبد الرعوف
عبد الرف
عبد الرفيع
عبد الرفيق
عبد الرقيب
عبد الروؤف
عبد الروف
عبد الروٴف
عبد الرٰحم‍‎ن
عبد الركريم
عبد الراشد
عبد الر‏زاق
عبد الزاهد
عبد الزهره
عبد السالم
عبد السبحان
عبد الستار
عبد الستارايدھي
عبد الستارلاليكا
عبد الستارچشتي
عبد الستاركھوكھركي
عبد السعيد
عبد السلام
عبد السليم
عبد السمد
عبد السميع
عبد السيمع
عبد الشكور
عبد الشهيد
عبد الشيد
