		Pref-0			
و	وَ	Pref-Wa	and	wa/CONJ+	
ف	فَ	Pref-Wa	and/so	fa/CONJ+	
ب	بِ	NPref-Bi	with/by	bi/PREP+	
ك	كَ	NPref-Bi	like/such as	ka/PREP+	
وب	وَبِ	NPref-Bi	and + with/by	wa/CONJ+bi/PREP+	
فب	فَبِ	NPref-Bi	and/so + with/by	fa/CONJ+bi/PREP+	
وك	وَكَ	NPref-Bi	and + like/such as	wa/CONJ+ka/PREP+	
فك	فَكَ	NPref-Bi	and/so + like/such as	fa/CONJ+ka/PREP+	
ل	لِ	NPref-Li	for/to	li/PREP+	
ول	وَلِ	NPref-Li	and + for/to	wa/CONJ+li/PREP+	
فل	فَلِ	NPref-Li	and/so + for/to	fa/CONJ+li/PREP+	
ل	لَ	NPref-La	indeed/truly	la/EMPHATIC_PARTICLE+	
ل	لَ	PVPref-La	would have	la/RESULT_CLAUSE_PARTICLE+	
ال	ال	NPref-Al	the	Al/DET+	
وال	وَال	NPref-Al	and + the	wa/CONJ+Al/DET+	
فال	فَال	NPref-Al	and/so + the	fa/CONJ+Al/DET+	
بال	بِال	NPref-BiAl	with/by + the	bi/PREP+Al/DET+	
كال	كَال	NPref-BiAl	like/such as + the	ka/PREP+Al/DET+	
وبال	وَبِال	NPref-BiAl	and + with/by + the	wa/CONJ+bi/PREP+Al/DET+	
فبال	فَبِال	NPref-BiAl	and/so + with/by + the	fa/CONJ+bi/PREP+Al/DET+	
وكال	وَكَال	NPref-BiAl	and + like/such as + the	wa/CONJ+ka/PREP+Al/DET+	
فكال	فَكَال	NPref-BiAl	and/so + like/such as + the	fa/CONJ+ka/PREP+Al/DET+	
لل	لِل	NPref-Lil	to/for + the	li/PREP+Al/DET+	
ولل	وَلِل	NPref-Lil	and + to/for + the	wa/CONJ+li/PREP+Al/DET+	
فلل	فَلِل	NPref-Lil	and/so + to/for + the	fa/CONJ+li/PREP+Al/DET+	
ل	لِ	NPref-LiAl	to/for + the	li/PREP+Al/DET+	
ول	وَلِ	NPref-LiAl	and + to/for + the	wa/CONJ+li/PREP+Al/DET+	
فل	فَلِ	NPref-LiAl	and/so + to/for + the	fa/CONJ+li/PREP+Al/DET+	
ي	يَ	IVPref-hw-ya	he/it	ya/IV3MS+	
ي	يُ	IVPref-hw-yu	he/it	yu/IV3MS+	
وي	وَيَ	IVPref-hw-ya	and + he/it	wa/CONJ+ya/IV3MS+	
وي	وَيُ	IVPref-hw-yu	and + he/it	wa/CONJ+yu/IV3MS+	
في	فَيَ	IVPref-hw-ya	and/so + he/it	fa/CONJ+ya/IV3MS+	
في	فَيُ	IVPref-hw-yu	and/so + he/it	fa/CONJ+yu/IV3MS+	
س	سَ	IVPref-sa-	will	sa/FUT+	
سي	سَيَ	IVPref-hw-ya	will + he/it	sa/FUT+ya/IV3MS+	
سي	سَيُ	IVPref-hw-yu	will + he/it	sa/FUT+yu/IV3MS+	
وسي	وَسَيَ	IVPref-hw-ya	and + will + he/it	wa/CONJ+sa/FUT+ya/IV3MS+	
وسي	وَسَيُ	IVPref-hw-yu	and + will + he/it	wa/CONJ+sa/FUT+yu/IV3MS+	
