# English-Arabic translations created from the Universal dictionary at 2010-02-01T05:09:30-07:00
# (c) Copyright 2010 by All free dictionaries project
# ALL FREE DICTIONARIES PROJECT DISCLAIMS ALL
# WARRANTIES WITH REGARD TO THESE TRANSLATIONS, INCLUDING ALL
# IMPLIED WARRANTIES OF MERCHANTABILITY AND FITNESS. IN NO
# EVENT SHALL ALL FREE DICTIONARIES PROJECT OR ANY OF ITS CONTRIBUTORS
# BE LIABLE FOR ANY SPECIAL, INDIRECT OR CONSEQUENTIAL DAMAGES
# OR ANY DAMAGES WHATSOEVER RESULTING FROM LOSS OF USE, DATA OR
# PROFITS, WHETHER IN AN ACTION OF CONTRACT, NEGLIGENCE
# OR OTHER ACTION, ARISING OUT OF OR IN CONNECTION
# WITH THE USE OR PERFORMANCE OF THESE TRANSLATIONS.
#
# In other words there may be incorrect translations.
# If you need to be sure never use these translations!
#
# French, German and Czech entries are added manually. The entries for
# remaining languages are added automatically. Entries for these languages
# are only experimental.
#
# You may not place this file on WWW, ftp and equivalent servers because
# this file gets outdated very quickly. You may not distribute this file
# with your dictionary applications without permission. You can contact
# authors of the Universal dictionary at: http://dicts.info/contact.php
#
# This file is for personal use only. You may not distribute this file.
#
# New version of this file can be created at: http://www.dicts.info/uddl.php
#

 April ; Apr 	 نيسان % أبريل 	 time 
 China ; People's Republic of China ; mainland China ; Communist China ; Red China ; PRC ; Cathay 	 الصين 	 country 
 Chinese 	 الصينية 	 language 
 Czech Republic 	 تشيكيا 	 country 
 December ; Dec 	 كانون الأول % ديسمبر 	 time 
 Earth ; earth ; world ; globe 	 الأرض 	 nature 
 English ; English language 	 إنجليزي ؛ إنكليزي 	 language 
 February ; Feb 	 شباط % فبراير 	 time 
 France ; French Republic 	 فرنسا 	 country 
 French 	 الفرنسية 	 language 
 Friday ; Fri 	 الجمعة 	 time 
 German ; High German ; German language 	 اللغة الألمانية 	 linguistics 
 Germany ; Federal Republic of Germany ; Deutschland ; FRG 	 ألمانيا 	 country 
 Hindi 	 اللغة الهندية 	 language 
 India ; Republic of India ; Bharat 	 الهند 	 country 
 Italian 	 الإيطالية 	 language 
 Italy ; Italian Republic ; Italia 	 إيطاليا 	 country 
 January ; Jan 	 كانون الثاني % يناير 	 time 
 Japan ; Nippon ; Nihon 	 اليابان 	 country 
 Japanese 	 اليابانية 	 language 
 July 	 تموز % يوليو 	 time 
 June 	 حزيران % يونيو 	 time 
 Monday ; Mon 	 الاثنين 	 time 
 Moon ; moon 	 قمر 	 nature 
 November ; Nov 	 تشربن الثاني % نوفمبر 	 time 
 October ; Oct 	 تشرين الأول % أكتوبر 	 time 
 Russian 	 الروسية 	 language 
 Saturday ; Sabbatum ; Sat 	 السبت 	 time 
 Spain ; Kingdom of Spain ; Espana 	 إسبانيا 	 country 
 Spanish 	 الأسبانية 	 language 
 Sunday ; Lord's Day ; Dominicus ; Sun 	 الأحد 	 time 
 Thursday ; Th 	 الخميس 	 time 
 United Kingdom ; UK ; U.K. ; Britain ; United Kingdom of Great Britain and Northern Ireland ; Great Britain 	 المملكة المتحدة 	 country 
 United States ; United States of America ; America ; the States ; US ; U.S. ; USA ; U.S.A. 	 الولايات المتحدة الأمريكية 	 country 
 Wednesday ; Midweek ; Wed 	 الأربعاء 	 time 
 ability ; power 	 مقدِرة 	 abstract 
 able 	 قادر 	 adjective 
 about ; almost ; most ; nearly ; near ; nigh ; virtually ; well-nigh 	 على وشك 	 adverb 
 about ; around 	 على، حول 	 adverb 
 above ; higher up ; in a higher place ; to a higher place 	 فوق 	 adverb 
 abrupt ; precipitous ; sharp 	 مفاجئ 	 adjective 
 accept ; take ; have 	 وافق 	 verb 
 accident 	 حادث 	 transport 
 account ; business relationship 	 حساب 	 business 
 achieve ; accomplish ; attain ; reach 	 يتِم ، يحقِق، ينجِز 	 verb 
 acid 	 حامض 	 adjective 
 acid 	 حامض 	 material 
 acme ; height ; elevation ; peak ; pinnacle ; summit ; superlative ; meridian ; tiptop ; top 	 قمة 	 abstract 
 act ; deed ; human action ; human activity 	 تصرف 	 abstract 
 act ; move 	 تحرك 	 verb 
 action 	 عمل، إجراء 	 mathematics 
 action ; activity ; activeness 	 فعل 	 mathematics 
 actor ; histrion ; player ; thespian ; role player 	 ممثل 	 profession 
 actress 	 الممثّلة 	 profession 
 actually ; really 	 فِي الواقِع، فِي الحقِيقة، فِعلاً 	 adverb 
 acuate ; acute ; sharp ; needlelike 	 حاد 	 adjective 
 ad ; advertisement ; advertizement ; advertising ; advertizing ; advert 	 إعلان 	 business 
 addition ; add-on ; improver 	 إضافة 	 abstract 
 address 	 عنوان 	 abstract 
 adept ; expert ; good ; practiced ; proficient ; skillful ; skilful 	 خبير 	 adjective 
 adjective 	 نعت ؛ صفة 	 linguistics 
 admit ; acknowledge 	 يعترِف بِ 	 verb 
 advantage ; vantage 	 فائِده 	 abstract 
 advice 	 نصِيحه 	 communication 
 afternoon 	 عصر 	 time 
 again ; once again ; once more ; over again 	 مجدداً 	 adverb 
 against 	 ضد 	 preposition 
 age 	 عمر 	 time 
 ago ; agone 	 ماضِ، فِي الماضِي، منذ زمن 	 adjective 
 agree ; hold ; concur ; concord 	 يتفِق مع 	 verb 
 agreement ; understanding 	 موافقة ; اتفاق 	 business 
 ahead ; in front ; before 	 أمام 	 adverb 
 aid ; assist ; assistance ; help 	 مساعدة 	 communication 
 air 	 هواء 	 nature 
 airplane ; aeroplane ; plane 	 طائرة 	 object 
 airport ; airdrome ; aerodrome ; drome 	 مطار 	 city 
 alive ; live 	 حي، غير ميِت 	 adjective 
 all 	 كل 	 adjective 
 alone ; lone ; lonely ; solitary 	 منعزل 	 adjective 
 along 	 بجانب (bijá:nib) 	 adverb 
 already 	 سابِقاً، قبل الآن، قد، الآن 	 adverb 
 alternatively ; instead ; or else 	 بدلا من 	 adverb 
 although 	 رغم 	 conjunction 
 altitude ; height 	 مِقياس الإرتِفاع 	 abstract 
 among ; amongst ; amid ; amidst 	 بين 	 preposition 
 amount 	 مقدار 	 abstract 
 and 	 و 	 conjunction 
 angle 	 زاوية 	 mathematics 
 angry 	 غاضب 	 adjective 
 animal ; animate being ; beast ; brute ; creature ; fauna 	 حيوان 	 nature 
 announce ; denote 	 يعلِن حضور شخص 	 verb 
 announcement ; proclamation ; annunciation ; declaration 	 إعلان 	 communication 
 another ; some other 	 آخر 	 adjective 
